"","TOC","BD_fine","depth"
"1",1.589,1.43,30
"2",0.574,1.57,50
"3",0.579,1.39,70
"4",0.581,1.47,100
"5",1.233,1.45,50
"6",7.506,1.03,62
"7",1.089,1.48,70
"8",3.109,1.27,80
"9",2.015,1.45,90
"10",0.674,1.6,100
"11",2.454,1.12,10
"12",2.571,1.2,30
"13",1.557,1.32,39
"14",1.854,1.12,50
"15",1.278,1.05,70
"16",1.16,1.01,100
"17",2.047,1.33,10
"18",0.272,1.57,40
"19",0.563,1.6,50
"20",1.147,1.55,82
"21",0.432,1.65,70
"22",0.473,1.68,100
"23",0.222,1.63,50
"24",0.157,1.46,70
"25",0.326,1.49,100
"26",0.165,1.51,100
"27",2.071,1.43,50
"28",1.044,1.42,60
"29",0.552,1.5,70
"30",0.354,1.51,83
"31",0.167,1.6,100
"32",4.379,1.25,30
"33",1.141,1.45,40
"34",0.389,1.59,50
"35",0.244,1.65,70
"36",0.222,1.66,88
"37",0.248,1.68,100
"38",1.9,1.2,10
"39",1.904,1.31,30
"40",0.748,1.25,70
"41",0.857,1.06,100
"42",0.17,1.73,50
"43",0.062,1.54,100
"44",0.411,1.45,80
"45",1.019,1.63,50
"46",0.845,1.59,70
"47",0.351,1.63,90
"48",0.645,1.74,100
"49",8.548,0.75,10
"50",7.042,0.75,10
"51",1.59,1.36,30
"52",0.942,1.36,50
"53",1.639,1.07,60
"54",3.809,1.17,10
"55",0.124,1.6,70
"56",0.498,1.31,70
"57",0.082,1.5,70
"58",0.05,1.35,100
"59",0.139,1.58,100
"60",0.552,1.51,30
"61",3.191,1.18,10
"62",0.379,1.55,100
"63",3.082,0.86,100
"64",0.285,1.67,70
"65",0.057,1.53,100
"66",1.857,1.05,10
"67",0.811,1.46,50
"68",0.57,1.44,70
"69",1.256,1.02,60
"70",1.022,0.97,100
"71",3.202,0.96,10
"72",0.336,1.52,50
"73",0.176,1.61,70
"74",0.148,1.53,100
"75",0.034,1.48,70
"76",0.023,1.43,100
"77",0.23,1.5,100
"78",0.177,1.63,70
"79",0.135,1.64,80
"80",0.01,1.48,100
"81",2.133,1.36,30
"82",0.551,1.62,38
"83",0.274,1.57,50
"84",0.236,1.47,70
"85",0.15,1.42,100
"86",2.006,1.33,10
"87",0.719,1.59,50
"88",0.329,1.65,70
"89",0.44,1.63,80
"90",0.776,1.38,100
"91",0.314,1.57,100
"92",1.054,1.4,30
"93",2.221,1.18,10
"94",2.311,1.26,30
"95",1.591,1.2,50
"96",1.421,1.04,70
"97",0.854,1.19,90
"98",1.722,1.33,10
"99",1.721,1.32,30
"100",1.392,1.4,50
"101",0.559,1.51,70
"102",0.339,1.53,80
"103",0.332,1.2,100
"104",5.288,0.93,10
"105",0.981,1.44,50
"106",4.797,1.1,10
"107",4.5,1.1,30
"108",2.183,0.97,50
"109",2.798,0.85,60
"110",0.838,1.22,70
"111",1.169,1.19,100
"112",0.638,1.28,100
"113",0.06,1.85,100
"114",2.054,1.4,10
"115",1.885,1.26,30
"116",1.079,1.38,40
"117",0.37,1.41,50
"118",0.327,1.28,70
"119",0.419,1.15,100
"120",6.737,0.63,10
"121",1.599,1.43,30
"122",0.349,1.53,50
"123",0.364,1.35,70
"124",0.5,1.11,100
"125",0.764,1.44,50
"126",0.371,1.51,70
"127",0.263,1.54,85
"128",0.132,1.55,100
"129",1.272,1.44,10
"130",1.258,1.52,30
"131",0.373,1.5,50
"132",0.266,1.55,70
"133",0.475,1.48,100
"134",0.732,1.57,50
"135",0.325,1.47,100
"136",8.375,0.52,60
"137",4.802,0.68,70
"138",2.165,0.78,100
"139",3.863,0.88,10
"140",1.965,1.35,20
"141",1.246,1.48,30
"142",1.048,1.27,50
"143",1.091,1.13,70
"144",0.845,1.23,100
"145",6.636,0.51,50
"146",7.355,0.43,70
"147",0.037,1.74,100
"148",2.051,1.25,10
"149",2.083,1.32,30
"150",0.792,1.29,50
"151",0.948,1.28,70
"152",0.281,1.39,100
"153",0.213,1.79,100
"154",0.81,1.48,50
"155",0.072,1.69,100
"156",0.256,1.63,100
"157",6.908,0.78,10
"158",0.458,1.6,70
