depth increment	TOC	BD_fine	BD_all	Steingehalt
30	1.589	1.43	1.43	0
50	0.574	1.57	1.57	0
70	0.579	1.39	1.39	0
100	0.581	1.47	1.47	0
50	1.233	1.45	1.45	0
62	7.506	1.03	1.03	0
70	1.089	1.48	1.48	0
80	3.109	1.27	1.27	0
90	2.015	1.45	1.45	0
100	0.674	1.6	1.6	0
10	2.454	1.12	1.12	0
30	2.571	1.2	1.2	0
39	1.557	1.32	1.32	0
50	1.854	1.12	1.12	0
70	1.278	1.05	1.05	0
100	1.16	1.01	1.01	0
10	2.047	1.33	1.34	0
40	0.272	1.57	1.57	0
50	0.563	1.6	1.6	0
82	1.147	1.55	1.55	0
70	0.432	1.65	1.65	0
100	0.473	1.68	1.68	0
50	0.222	1.63	1.63	0
70	0.157	1.46	1.47	0
100	0.326	1.49	1.5	0
100	0.165	1.51	1.51	0
50	2.071	1.43	1.43	0
60	1.044	1.42	1.42	0
70	0.552	1.5	1.5	0
83	0.354	1.51	1.51	0
100	0.167	1.6	1.6	0
30	4.379	1.25	1.25	0
40	1.141	1.45	1.45	0
50	0.389	1.59	1.59	0
70	0.244	1.65	1.65	0
88	0.222	1.66	1.66	0
100	0.248	1.68	1.68	0
10	1.9	1.2	1.2	0
30	1.904	1.31	1.31	0
70	0.748	1.25	1.25	0
100	0.857	1.06	1.06	0
50	0.17	1.73	1.73	0
100	0.062	1.54	1.54	0
80	0.411	1.45	1.45	0
50	1.019	1.63	1.63	0
70	0.845	1.59	1.59	0
90	0.351	1.63	1.63	0
100	0.645	1.74	1.74	0
10	8.548	0.75	0.76	0
10	7.042	0.75	0.75	0
30	1.59	1.36	1.36	0
50	0.942	1.36	1.36	0
60	1.639	1.07	1.07	0
10	3.809	1.17	1.17	0
70	0.124	1.6	1.6	0
70	0.498	1.31	1.32	0
70	0.082	1.5	1.5	0
100	0.05	1.35	1.35	0
100	0.139	1.58	1.58	0
30	0.552	1.51	1.52	0
10	3.191	1.18	1.18	0
